Person,Payment Card Number,Bank_Account_Number,IFSC,UPI_ID
Suhana Korpal,3536-9743-0230-5118,9418992816399500,SBIN0005908,tarachandran@upi
Nirvaan Mahal,5082-0034-1669-2824,9418992816399500,SBIN0005909,bdixit@upi
Sahil Ramakrishnan,5082-2831-4837-8393,9418992816399500,SBIN0005910,aliaupadhyay@upi
Arhaan Kata,3565-6784-0335-2853,9418992816399500,SBIN0005911,taimurratti@upi
Raghav Walia,6005-9311-8674-1235,9418992816399510,SBIN0005912,zoya85@upi
Ritvik Kibe,6522-4805-9563-4619,9418992816399510,SBIN0005913,manjari71@upi
Saanvi Ranganathan,8125-8642-1552-2766,9418992816399510,SBIN0005914,kimayavaidya@upi
Diya Chopra,8276-4124-3984-3092,9418992816399510,SBIN0005915,kashvi26@upi
Samiha Lal,3535-0607-5356-0202,9418992816399510,SBIN0005916,zarababu@upi
Arnav Sama,8282-0500-6594-0550,9418992816399510,SBIN0005917,daliaprerak@upi
Hiran Srivastava,6085-1707-8567-8877,9418992816399510,SBIN0005918,vidurdin@upi
Alia Dora,8291-8893-1299-5662,3584367755145740,SBIN0005919,erajagopal@upi
Reyansh Hari,3538-1235-7573-0390,78388967592220,SBIN0005920,mlala@upi
Advik Saha,5084-3368-9873-7008,3281218024291710,SBIN0005921,urvisibal@upi
Baiju Chanda,8248-8974-4290-1330,1776602272030190,SBIN0005922,laduthkarsh@upi
Riaan Verma,6534-5256-4656-2445,9741962578755910,SBIN0005923,stuvanraval@upi
Inaaya  Bajwa,5080-4335-3235-5083,6327705092280560,SBIN0005924,zhayre@upi
Zeeshan Sandal,6568-6902-7975-3783,8597353460064030,SBIN0005925,abanik@upi
Aradhya Chaudhari,8212-8891-6743-1462,6496629190984040,SBIN0005926,mehul17@upi
Veer Maharaj,6563-8641-3914-6059,528198872265854,SBIN0005927,onkarsridhar@upi
Azad Arya,6070-5091-4969-1364,97734338228045,SBIN0005928,somanranbir@upi
Neysa Sridhar,3534-5789-0846-0805,269713364931178,SBIN0005929,gardeneelofar@upi
Advika Kanda,8297-8531-9606-2696,5985775692097370,SBIN0005930,sghose@upi
Ranbir Dhar,8227-4708-8684-1282,59292203418695,SBIN0005931,dalalsahil@upi
Bhavin Dugar,5082-7171-5132-9769,2911247694038570,SBIN0005932,srinivasanraunak@upi
Eva Dixit,6584-0625-6935-5770,8446905174372260,SBIN0005933,bariakartik@upi
Riya Guha,8158-5309-4187-4918,533359757852105,SBIN0005934,diyaranganathan@upi
Kabir Mahajan,6084-9445-4246-2036,9787908788797380,SBIN0005935,jivinshenoy@upi
Ishaan Behl,8145-2159-0396-8272,48164861868416,SBIN0005936,pari67@upi
Gatik Vaidya,3539-3422-9197-8906,2233454235933970,SBIN0005937,sumer46@upi
Lakshay Gupta,8296-6627-2890-3983,62296901610619,SBIN0005938,goelkartik@upi
Saanvi Varma,6082-9742-0034-9805,536763376900842,SBIN0005939,parivyas@upi
Adira Rau,3561-1021-0900-5446,82246430128502,SBIN0005940,advikaswaminathan@upi
Arhaan Barman,8218-4490-5628-9655,1178202991887870,SBIN0005941,ykrishnamurthy@upi
Vaibhav Dash,6032-5157-4224-0969,3477150257529500,SBIN0005942,tshenoy@upi
Onkar Thaman,3567-4149-7859-9951,23282335636565,SBIN0005943,samar77@upi
Vanya Tiwari,8123-3591-2830-2424,422368155591934,SBIN0005944,samarth77@upi
Arhaan Chad,5082-2018-0383-3445,76868950864610,SBIN0005945,kumersiya@upi
Kabir Bhavsar,8288-6435-0131-1453,588544611006216,SBIN0005946,guharanbir@upi
Taimur Jani,6520-7646-3233-3190,57495057025798,SBIN0005947,fateh54@upi
Nirvaan Sarma,6591-3660-3514-9712,47854366619204,SBIN0005948,fsodhi@upi
Jayesh Venkatesh,6048-9339-9985-5714,94859554311077,SBIN0005949,yasminhora@upi
Shayak Buch,8198-2918-6585-6157,3335674715459810,SBIN0005950,bseshadri@upi
Bhavin Gera,3536-2659-8779-9323,8225937907956440,SBIN0005951,farhankothari@upi
Eva Dhaliwal,6042-1330-9939-0797,75357722096061,SBIN0005952,cdayal@upi
Eshani Gaba,6567-8889-6854-4973,2977484724981840,SBIN0005953,nakul30@upi
Miraan Kara,6534-6059-4544-9856,735426314838598,SBIN0005954,vaibhavdeep@upi
Vihaan Majumdar,8197-5407-9043-6233,5594898883824680,SBIN0005955,mishathakur@upi
Alia Subramanian,3532-8453-0265-5328,838350695617179,SBIN0005956,aaryahihegde@upi
Drishya Bumb,3530-3252-1794-5876,6659815215392650,SBIN0005957,eva12@upi
Faiyaz Ranganathan,6525-8618-5417-5393,82961663529381,SBIN0005958,raunak38@upi
Baiju Kala,6560-7302-4821-7714,96733955393909,SBIN0005959,sarabose@upi
Anay Chahal,3534-2142-3393-0300,21527975290699,SBIN0005960,desaimohanlal@upi
Damini Divan,6576-7873-1001-8497,332630588911509,SBIN0005961,samaira70@upi
Anvi Sagar,5082-3607-5640-5138,49583138818842,SBIN0005962,lallashray@upi
Indranil Magar,8236-8231-5105-4206,69223664809644,SBIN0005963,bhaktaalia@upi
Zeeshan Banik,6086-2773-1071-8117,549578506363383,SBIN0005964,aaryahi28@upi
Siya Sinha,5088-0071-7943-6315,96553082871052,SBIN0005965,contractorvidur@upi
Jayan Agrawal,3537-6912-1595-9372,4229277140119220,SBIN0005966,rasha26@upi
Renee Wali,3563-0684-8009-1925,784614616756170,SBIN0005967,sacharvedika@upi
Khushi Sem,5088-7895-1015-5254,9317371406592620,SBIN0005968,zsundaram@upi
Anika Rana,3532-7760-5226-0920,5269721396429810,SBIN0005969,riaan94@upi
Nishith Krish,6527-8706-0938-1428,25659421492484,SBIN0005970,lavanya72@upi
Ranbir Mander,6002-5908-0879-8362,32823003070655,SBIN0005971,vivaan49@upi
Taran Mangal,3560-4860-2700-7738,33234205296796,SBIN0005972,srau@upi
Renee Ganesh,6595-7090-1228-9769,99122027124587,SBIN0005973,advikgopal@upi
Zeeshan Varughese,3566-0336-1303-4645,65419524597576,SBIN0005974,ckapur@upi
Anay Banik,3534-1057-6672-0581,55913869355092,SBIN0005975,kaulmiraya@upi
Lavanya Samra,6033-4343-7998-0377,654877691253544,SBIN0005976,lakshaykala@upi
Aaryahi Dhaliwal,3568-4280-1732-4162,615691671352412,SBIN0005977,tanya06@upi
Gokul Dalal,3532-5454-3888-7478,538177639614546,SBIN0005978,bviswanathan@upi
Alia Devi,6540-6094-0455-6120,36152375805334,SBIN0005979,dharmajan92@upi
Onkar Vasa,3567-2185-4422-0095,315391531125505,SBIN0005980,mbansal@upi
Kartik Chhabra,8182-1496-5071-9865,9629856456321150,SBIN0005981,bijubabu@upi
Samar Gala,8250-1537-6448-5642,2861242481657850,SBIN0005982,dchoudhary@upi
Nirvi Babu,8202-0839-6049-1244,9255860411287290,SBIN0005983,fbhavsar@upi
Nitara Basak,6040-9832-2700-6141,294514552947534,SBIN0005984,xtara@upi
Tarini Kakar,3564-4893-4814-2669,595583005017544,SBIN0005985,jsetty@upi
Ivana Dora,6531-0515-3542-8625,52859505710965,SBIN0005986,banerjeeindrajit@upi
Anvi Chahal,8144-8642-7266-1959,62186711693128,SBIN0005987,urvi52@upi
Rohan Gaba,6515-7712-1717-1918,2298380790403660,SBIN0005988,rajanumang@upi
Kismat Kar,3561-8935-7088-4430,359553281723075,SBIN0005989,buchkeya@upi
Farhan Dora,6091-2778-4892-8819,1913422551754060,SBIN0005990,hrishita71@upi
Kaira Setty,5082-0664-2247-8033,49663556614699,SBIN0005991,vdewan@upi
Veer Thakkar,8151-9301-3292-1535,75428494971266,SBIN0005992,aniruddhanne@upi
Onkar Grover,5087-2133-2084-0360,743480142211190,SBIN0005993,shayak38@upi
Kanav Shukla,6516-3229-9746-2835,35443500480706,SBIN0005994,kotanirvi@upi
Aayush Barad,3533-0684-9448-3420,59593948811694,SBIN0005995,ksandal@upi
Tushar Brahmbhatt,5081-8906-7826-9197,957138865205790,SBIN0005996,htoor@upi
Azad Madan,5088-1435-9708-0649,49112263917152,SBIN0005997,fkala@upi
Miraya Goel,3563-5714-0704-7987,16784496293705,SBIN0005998,ravineelofar@upi
Anahita Sampath,3569-1911-2513-8507,913824929087673,SBIN0005999,ggara@upi
Farhan Kaul,5089-7669-6663-9394,3733510296485700,SBIN0006000,saraghosh@upi
Rhea Agrawal,3563-4030-9017-6693,8494684370754150,SBIN0006001,nayantara00@upi
Elakshi Dua,3531-4934-3000-3979,82749802189364,SBIN0006002,gatik00@upi
Reyansh Banik,8163-9968-7615-3573,14369193043855,SBIN0006003,jayeshdoctor@upi
Rati Sule,6064-3490-0027-9308,139737414220357,SBIN0006004,rhegde@upi
Lakshit Bhattacharyya,8231-2626-5309-0704,4126232612091310,SBIN0006005,uthkarshravel@upi
Ritvik Wadhwa,3534-4351-1287-5387,9564977608306300,SBIN0006006,lalkaira@upi
Divit Mallick,8276-3234-8886-6779,694414412009275,SBIN0006007,purab49@upi
Rania Hegde,5083-7658-2195-1263,3798520074993800,SBIN0006008,shrayviswanathan@upi
Ira Varghese,6024-2430-2151-8837,921929800780471,SBIN0006009,umangsaxena@upi
Saanvi Ahluwalia,3530-5643-8866-8111,83248564617250,SBIN0006010,sharmasaanvi@upi
Madhav Dewan,8217-2580-8539-3151,85637367596724,SBIN0006011,emir74@upi
Advik Sahota,8126-8050-5746-1000,59827432399316,SBIN0006012,mamootygulati@upi
Lakshit Chowdhury,3563-4662-3858-8566,315810637831731,SBIN0006013,kotharinitya@upi
Hrishita Dubey,8213-4803-2123-4494,5439872175437820,SBIN0006014,gatik22@upi
Heer Chauhan,6034-1737-3519-1084,428943776988528,SBIN0006015,bhagataniruddh@upi
Ishita Chad,3567-2618-8201-7954,565531791017778,SBIN0006016,bariahansh@upi
Akarsh Borde,5087-7115-8302-5595,91553954709843,SBIN0006017,iravarughese@upi
Navya Sastry,3534-8776-8166-8695,69568014414606,SBIN0006018,lakshay90@upi
Manikya Savant,8112-6961-2879-5591,614477085813702,SBIN0006019,battakanav@upi
Inaaya  Sarma,5085-7402-8944-8514,4162281593785960,SBIN0006020,diyarajagopalan@upi
Elakshi Korpal,8234-1896-2554-8526,2418563433163370,SBIN0006021,amani60@upi
Mehul Sengupta,6502-1957-2088-3154,13191956108723,SBIN0006022,kaurnishith@upi
Neysa Lala,3531-5044-0697-1666,9941228481167650,SBIN0006023,wshukla@upi
Vritika Choudhary,3566-0049-3587-8605,894594549934908,SBIN0006024,ehsaanbail@upi
Kavya Reddy,8159-9110-5538-9134,1226314867552880,SBIN0006025,pari12@upi
Nehmat Dhar,8136-2189-5208-3234,14691698225417,SBIN0006026,miraansane@upi
Vivaan Chandra,6097-9243-6546-6145,713971422971613,SBIN0006027,manikyakata@upi
Dishani Bera,6084-6761-4974-2598,366598509990338,SBIN0006028,amani98@upi
Romil Sagar,8118-5130-5129-1833,761489327043673,SBIN0006029,kataeshani@upi
Seher Chatterjee,8121-7522-4329-3589,472234367960665,SBIN0006030,gandhianika@upi
Mahika Sane,3530-0265-5174-1471,34392495068652,SBIN0006031,xbehl@upi
Rohan Samra,3533-7247-3618-9973,72694437013309,SBIN0006032,samairakar@upi
Arhaan Ahuja,3563-5466-4800-8386,51111190983575,SBIN0006033,dkoshy@upi
Madhup Balakrishnan,8231-2114-6108-0795,236173016110490,SBIN0006034,surahrishita@upi
Yakshit Ahluwalia,3561-7778-0414-0729,6448843566627790,SBIN0006035,maharajbhavin@upi
Mohanlal Ben,3564-4106-2397-5979,765910469603798,SBIN0006036,reyansh07@upi
Yashvi Kade,8226-2951-6074-0012,64279162476638,SBIN0006037,parirastogi@upi
Pranay Dugal,6018-4545-9178-0198,63929916675770,SBIN0006038,qgade@upi
Yashvi Chandra,8118-3494-6345-4762,863892817963085,SBIN0006039,aniruddh52@upi
Mehul Ramaswamy,3530-2208-5975-3003,34823322516754,SBIN0006040,shaan75@upi
Rati Mangat,3530-0839-1737-1048,1798840884405520,SBIN0006041,vanya18@upi
Shalv Dass,3568-5026-1834-6608,592545160749490,SBIN0006042,bhaktabhavin@upi
Abram Korpal,6006-7172-1360-7583,1756818644276900,SBIN0006043,badalvasa@upi
Urvi Randhawa,5084-3643-4904-4360,61567419232141,SBIN0006044,mmall@upi
Shlok Mani,8121-0291-3516-0477,58615543772099,SBIN0006045,yakshitsule@upi
Pari Goda,6020-2392-8700-0142,3462680065273020,SBIN0006046,qsehgal@upi
Badal Mall,6521-1880-5748-6193,723144493805132,SBIN0006047,kavyasarma@upi
Kiaan Cherian,3536-8632-1641-6204,3182671326148970,SBIN0006048,ishita32@upi
Advik Lala,3537-5269-1308-2103,681549638126727,SBIN0006049,sumerarya@upi
Tarini Bains,8180-5575-2518-2162,679376266299463,SBIN0006050,lsubramaniam@upi
Vedika Sheth,8113-9665-7333-5774,143228207636403,SBIN0006051,pihubandi@upi
Kabir Borah,6045-2864-3956-1035,3586531873371690,SBIN0006052,seher71@upi
Samar Cherian,6054-1851-7099-4306,8476767989996040,SBIN0006053,qtak@upi
Aarush Thakur,6096-9308-5031-8155,4975956063366500,SBIN0006054,sathevidur@upi
Mohanlal Kar,8203-4568-8068-1319,5345582512988760,SBIN0006055,ivanadugar@upi
Riya Deshmukh,3569-8057-6066-6338,442279408339357,SBIN0006056,tejas35@upi
Ritvik Ratta,3539-9465-2733-2173,9548819860668870,SBIN0006057,yuvraj-66@upi
Taran Lalla,5081-2113-8841-6855,57619297544906,SBIN0006058,taimurdutt@upi
Saira Uppal,6551-0336-5255-0188,45448952413323,SBIN0006059,chaudharymahika@upi
Arnav Baria,6573-9097-1107-7905,728696478456261,SBIN0006060,qkohli@upi
Divyansh Chadha,3566-2544-2613-7314,61965790737838,SBIN0006061,sonisamiha@upi
Jayesh Mahajan,8274-9834-6026-9052,98263509426360,SBIN0006062,raghavgrover@upi
Pranay Doshi,8131-1300-4026-4988,4899410710827840,SBIN0006063,mahikabutala@upi
Riya Khanna,3536-4493-0909-9493,328339234339365,SBIN0006064,hram@upi
Nitara Bobal,3566-4384-9473-6939,42149263104576,SBIN0006065,aaryahigera@upi
Nakul Reddy,6577-7940-4415-0983,6931475104473270,SBIN0006066,nishithtara@upi
Ryan Saraf,3569-0473-6214-4261,1164317133061990,SBIN0006067,dishani77@upi
Lakshay Saha,3562-2391-5459-8120,8766332423292720,SBIN0006068,khannaprisha@upi
Aayush Bhatia,8126-5406-7054-5281,96862446301093,SBIN0006069,sidhuprisha@upi
Arnav Baral,8187-5338-6344-0689,6119633324170110,SBIN0006070,vkeer@upi
Bhavin Soman,8273-4841-9715-0245,6245531869818820,SBIN0006071,krishira@upi
Mehul Sarraf,3538-4203-9746-8062,21399689967704,SBIN0006072,jbrar@upi
Zain Hegde,3532-1013-7075-8002,492411628380487,SBIN0006073,nirvi06@upi
Umang Gupta,3531-8738-2138-9980,7284908942197170,SBIN0006074,guharati@upi
Arnav Goda,6588-8979-0586-9190,18862410320081,SBIN0006075,anayanne@upi
Prerak Khosla,5086-4773-2839-7647,41971098837257,SBIN0006076,zoyavirk@upi
Mamooty De,8125-9470-5867-5542,638410183277611,SBIN0006077,prishakhosla@upi
Saira Deshpande,6027-2119-1072-0126,8481852678315600,SBIN0006078,lkhatri@upi
Kiara Bala,8184-3116-9730-5011,47586324443012,SBIN0006079,osuresh@upi
Kaira Dhar,5088-4105-7715-7030,6117569428444910,SBIN0006080,shayakmanda@upi
Shamik Bhat,3564-6348-3818-8694,2993250574105160,SBIN0006081,reddydhanuk@upi
Faiyaz Varghese,6012-5021-4373-7706,76231500702590,SBIN0006082,drout@upi
Damini Walia,6596-4835-2398-6441,6147140497081120,SBIN0006083,oorjamangal@upi
Hazel Venkatesh,3568-0594-9393-5872,769744920905829,SBIN0006084,obanerjee@upi
Khushi Yohannan,3530-8620-1689-5126,3843554651659070,SBIN0006085,samraraghav@upi
Samarth Badal,3533-7786-5585-0833,8864638697723930,SBIN0006086,dayaleshani@upi
Adira Deol,8255-2313-5297-3412,478250331645989,SBIN0006087,adirabedi@upi
Lakshit Bhakta,6018-6991-4853-2308,61762729217254,SBIN0006088,kiara84@upi
Shalv Saraf,8121-5162-6610-5149,174687776079477,SBIN0006089,nirvaande@upi
Divij Sani,5081-2912-4813-4823,572723029346672,SBIN0006090,wsarkar@upi
Advika Varughese,6562-8798-5082-3471,57741727630220,SBIN0006091,alia39@upi
Nehmat Rattan,3569-2726-8316-1758,8575579964127520,SBIN0006092,shaanramachandran@upi
Kanav Iyer,3539-3274-0507-2217,968510509641253,SBIN0006093,xsom@upi
Nirvaan Dalal,6058-9207-9908-1085,41977661667115,SBIN0006094,chiragbaral@upi
Renee Lad,6045-9682-1127-2325,8199757817717100,SBIN0006095,manjarichadha@upi
Dhanuk Toor,6514-9700-7325-5754,928752898948433,SBIN0006096,vdasgupta@upi
Mehul Sha,3539-2486-9529-4297,5891267827791340,SBIN0006097,bensuhana@upi
Divij Rao,6070-7977-5764-0514,67317934963627,SBIN0006098,trisha34@upi
Eshani Biswas,6050-0810-6832-2276,78622755840418,SBIN0006099,pkeer@upi
Mehul Sha,3562-8847-3187-2892,19586305506737,SBIN0006100,manikya12@upi
Fateh Shan,6004-7997-1919-0324,388265440532947,SBIN0006101,drishya33@upi
Pari Ganesh,5088-7542-3419-5077,5479939256647780,SBIN0006102,grewalshalv@upi
Mishti Behl,5087-6323-4197-2110,56448682218706,SBIN0006103,gollastuvan@upi
Hrishita Maharaj,6071-2296-4930-0395,16921145832037,SBIN0006104,nmahal@upi
Amani Konda,6027-7979-9095-9535,826735881489580,SBIN0006105,vihaan59@upi
Inaaya  Lall,8228-2878-1937-4069,61674308449747,SBIN0006106,vardaniyamall@upi
Arhaan Dey,5080-3338-0647-8084,73192121766028,SBIN0006107,anvi01@upi
Nitya Basu,5084-3310-9672-2522,1737490929673370,SBIN0006108,mannkrish@upi
Vanya Karpe,5084-1888-1163-5714,34529217900282,SBIN0006109,sakshamborde@upi
Arnav Rana,6550-7444-2450-2320,643153057679096,SBIN0006110,anya93@upi
Piya Dass,3534-3083-1629-7015,376276188385308,SBIN0006111,tiya58@upi
Elakshi Chand,8104-2414-6429-9914,61549490278361,SBIN0006112,ritvik21@upi
Anaya Swamy,8246-1431-7900-0935,4489292061902600,SBIN0006113,sara41@upi
Raunak Sankaran,8172-0605-1284-0538,5367807670970400,SBIN0006114,lviswanathan@upi
Uthkarsh Soni,3569-0383-3567-1258,224483210117764,SBIN0006115,neysareddy@upi
Aaryahi Luthra,8187-1405-9550-9763,578518407875013,SBIN0006116,vivaan41@upi
Rohan Kannan,5088-1603-5695-2750,72664136104910,SBIN0006117,lakshay56@upi
Adira Bahri,8207-4175-6719-9088,44426645444899,SBIN0006118,cgoswami@upi
Tejas Dar,6585-9829-4928-9143,48557489647687,SBIN0006119,frama@upi
Kashvi Divan,3568-1555-8480-7242,93265854560627,SBIN0006120,anahitadate@upi
Oorja Kant,6574-1130-5908-6755,767498458062648,SBIN0006121,kavya10@upi
Amira Chandran,8124-8232-5549-3990,272560689893719,SBIN0006122,qissac@upi
Mannat Bawa,8276-8505-7796-8843,352884945414430,SBIN0006123,ibarad@upi
Raghav Keer,6013-5576-5040-2028,2191688570293510,SBIN0006124,samiha89@upi
Sahil Rattan,6007-8129-9202-9783,2284958612002930,SBIN0006125,deypiya@upi
Saira Manda,5085-4750-0573-3119,451537499714933,SBIN0006126,samardyal@upi
Arnav Walia,3534-7714-3741-9372,62292271269156,SBIN0006127,eratti@upi
Madhav Bhat,3535-5567-1362-8013,235314578102139,SBIN0006128,pchaudhry@upi
Piya Agate,8122-2204-7203-5583,52628251217854,ABHY0065306,hazel69@upi
Eva Batta,3531-1179-0790-5024,85972648426225,ABHY0065307,kabiriyer@upi
Jayan Taneja,5085-8227-3797-0248,6168729892365400,ABHY0065308,aptetiya@upi
Rasha Salvi,6019-2289-1547-2495,83291797367069,ABHY0065309,dkamdar@upi
Eva Grover,5087-4146-5923-9436,349194953495540,ABHY0065310,sodhiprerak@upi
Ahana  Thakkar,8195-4323-9072-2463,61199641484420,ABHY0065311,xravel@upi
Darshit Srinivasan,6517-4151-1634-7629,38625422341054,ABHY0065312,ela16@upi
Ivana Sarma,8250-4075-0490-8689,221573166977897,ABHY0065313,fdugar@upi
Suhana Thakkar,8142-6275-4923-1217,8161402109144510,ABHY0065314,shanayamane@upi
Ahana  Bora,6085-7228-0104-8152,1231375216365000,ABHY0065315,ishita86@upi
Inaaya  Hari,3565-7275-0075-0475,7451256513689570,ABHY0065316,sacharmahika@upi
Oorja Tella,3563-2132-3818-0196,5967330341993310,ABHY0065317,arhaan23@upi
Tushar Dua,6084-5285-3837-1168,668677573863566,ABHY0065318,ahujarohan@upi
Nitya Ganesan,8118-2245-5514-7576,4395369362760610,ABHY0065319,lavanyakade@upi
Adah Kothari,8191-8001-1689-4259,71468021750237,ABHY0065320,purab94@upi
Eshani Shetty,3560-3055-2492-6366,591657698573886,ABHY0065321,tejas36@upi
Advik Gera,6040-8112-8713-8449,1427739959736260,ABHY0065322,kundashanaya@upi
Khushi Lad,5082-3844-5876-0673,65849892397697,ABHY0065323,esachdev@upi
Fateh Chand,3533-7647-6543-3967,3299334075144220,ABHY0065324,samiha59@upi
Anika Ganguly,6081-5894-9375-1375,13398386289913,ABHY0065325,lakshitsaha@upi
Eva Saxena,8153-4762-7818-0831,1645684279657130,ABHY0065326,farhan39@upi
Rasha Din,8245-8344-5313-0510,53984631964280,ABHY0065327,abram98@upi
Taimur Wali,6039-0637-0304-9353,351280128074211,ABHY0065328,bordeyashvi@upi
Vidur Chada,5086-3131-1989-6374,693349380071968,ABHY0065329,mamooty11@upi
Farhan Tandon,8241-5742-1823-1955,8995356868072610,ABHY0065330,indrans38@upi
Siya Sane,8109-8818-3182-9557,47361431202994,ABHY0065331,arout@upi
Ehsaan Bir,3566-0381-7902-9772,86191456278654,ABHY0065332,dubevivaan@upi
Vardaniya Ravel,5083-0509-4892-1238,1945457662907190,ABHY0065333,riya65@upi
Miraya Dash,3567-7948-0730-7886,3596930024993990,ABHY0065334,samianaya@upi
Indranil Bail,5084-1401-5033-2247,46845466665151,ABHY0065335,goelrasha@upi
Farhan Mangat,5088-5041-8626-9143,323589379983664,ABHY0065336,madhup52@upi
Saira Barman,5084-6839-6927-7905,79152019118119,ABHY0065337,xsarma@upi
Amani Kapur,8105-4896-8249-6346,17852125398819,ABHY0065338,yakshitbaria@upi
Sara Sant,5085-0776-3789-2717,6469471677029250,ABHY0065339,nitarabhatti@upi
Anaya Master,3564-7658-7364-1344,729257467339851,ABHY0065340,karsamar@upi
Mehul D’Alia,3560-2946-3486-0782,923694099169170,ABHY0065341,ranbirmammen@upi
Anika Buch,3537-4286-7430-6179,877924476493251,ABHY0065342,varkeyeshani@upi
Hiran Ganguly,8257-9374-3322-4470,2229133743072800,ABHY0065343,msidhu@upi
Vaibhav Sehgal,5080-0745-0985-8327,928197311533691,ABHY0065344,loyaltiya@upi
Suhana Varty,5089-9970-0972-9054,18912266314899,ABHY0065345,miraan80@upi
Hiran Randhawa,8238-8896-2968-2470,41992731840211,ABHY0065346,choudharydivit@upi
Ishaan Aggarwal,8240-6040-9906-5254,49594883770773,ABHY0065347,oraja@upi
Rhea Khare,6071-4766-5743-1527,1657169553573530,ABHY0065348,karaemir@upi
Dishani Sanghvi,5088-1628-8784-0892,428646895943011,ABHY0065349,bennehmat@upi
Neysa Khosla,8172-8556-8299-5685,36696910232131,ABHY0065350,tkeer@upi
Heer Ganguly,8251-2153-9847-8894,916579787365801,ABHY0065351,drishya34@upi
Miraan Bajwa,6084-7803-3079-0398,81544601280923,ABHY0065352,nirvichad@upi
Anay Varughese,6049-2536-1301-0581,269638226574215,ABHY0065353,vkanda@upi
Ritvik Iyengar,3539-1844-9389-7371,53237951512444,ABHY0065354,arhaan68@upi
Tushar Ranganathan,3538-6938-3460-4313,87838529940673,ABHY0065355,stuvandara@upi
Ryan Seth,8131-8859-2112-8210,7847443504442820,ABHY0065356,sara72@upi
Arhaan Bhattacharyya,8188-5526-3562-2043,88946547432180,ABHY0065357,mallickriaan@upi
Ishaan Goel,3563-5805-8443-8687,91793323612527,ABHY0065358,shray56@upi
Elakshi Sule,6038-6985-3116-0376,76217650079653,ABHY0065359,navyagoel@upi
Seher Shere,6024-3208-7310-1423,3213931585661020,ABHY0065360,riya76@upi
Arnav Krishna,6053-8219-6771-0411,8658383605423410,ABHY0065361,agarwalvritika@upi
Anika Kohli,3569-0401-7235-4253,27556189596111,ABHY0065362,faiyaz72@upi
Hridaan Mann,3539-4073-8564-9380,8374602901084460,ABHY0065363,sbhatia@upi
Aarush Khare,6570-3703-4550-5915,15284407228204,ABHY0065364,lmaster@upi
Jivin Sur,8211-9892-1255-5751,27683666747183,ABHY0065365,dhaliwalshlok@upi
Uthkarsh Grewal,6555-2789-4458-2467,4128590966935540,ABHY0065366,shraysampath@upi
Uthkarsh Singh,8246-3587-4361-8760,989552203019176,ABHY0065367,sumer86@upi
Zaina Bhasin,6003-5232-8138-6404,4247518250527360,ABHY0065368,ranbir12@upi
Inaaya  Bhatt,8237-6302-1771-9691,427655748108212,ABHY0065369,mehul32@upi
Kartik Sampath,8173-5496-9053-3658,9457676117858950,ABHY0065370,aaryahi88@upi
Tejas Dugar,8246-5624-3051-7975,12761901844846,ABHY0065371,ayeshadara@upi
Prerak Walla,3538-9344-7021-3260,4172136562476550,ABHY0065372,darshitwason@upi
Baiju Barad,3569-0460-6385-5811,223561781597215,ABHY0065373,cbasak@upi
Riaan Sunder,5083-2082-4117-2095,68738720312252,ABHY0065374,rwali@upi
Onkar Hayer,8187-6763-0268-0231,99842061399067,ABHY0065375,nishithdeshpande@upi
Mohanlal Virk,5080-3584-2016-2434,8316342031296910,ABHY0065376,rramesh@upi
Adira Sur,8276-0427-5907-7219,684877623031644,ABHY0065377,etara@upi
Kiaan Kulkarni,8286-2617-4373-9100,2669481644216570,ABHY0065378,jivika64@upi
Vanya Sandhu,6060-2288-8578-0537,1895489932133920,ABHY0065379,kashyapmanikya@upi
Ishita Dugar,5083-5012-4030-8367,2644331647964060,ABHY0065380,kabir87@upi
Vedika Mander,3539-0473-4051-0804,2162212116273540,ABHY0065381,harikanav@upi
Sana Sem,3564-0168-7698-6876,187675083813014,ABHY0065382,mandeva@upi
Nishith Raju,6526-6647-2368-6775,72751462274104,ABHY0065383,ravimisha@upi
Samaira Raval,3532-6794-5184-8131,1637339177288240,ABHY0065384,kartik21@upi
Yuvaan Sabharwal,3536-9036-9291-6465,9378118735579270,ABHY0065385,trisha56@upi
Zain Loyal,3562-2351-1036-6644,1957874643303240,ABHY0065386,jtak@upi
Yasmin Ghosh,3566-1327-9451-9182,1969740719059990,ABHY0065387,nbains@upi
Kismat Goda,8129-2151-7108-7813,568267570807460,ABHY0065388,zbal@upi
Hansh Rajan,3561-6512-0716-8977,211783535405023,ABHY0065389,atwalpiya@upi
Saksham Kulkarni,3537-1912-9167-1439,94498932673603,ABHY0065390,nakulrama@upi
Jayan Walla,6597-4009-8886-8582,467279359502103,ABHY0065391,miraanmagar@upi
Anvi Hari,8260-9688-4347-2834,16986364283373,ABHY0065392,hanshroy@upi
Badal Hayre,3568-5484-3822-1737,15457669722023,ABHY0065393,kimayalala@upi
Jhanvi Aggarwal,3565-2161-7098-2444,91183450581788,ABHY0065394,saksham52@upi
Ivana Dayal,5089-3228-5776-9237,471292297229952,ABHY0065395,sarrafzaina@upi
Ishita Bail,6055-0500-6327-4225,69392458777474,ABHY0065396,dayalrohan@upi
Nirvaan Raman,5080-0429-9512-7747,8974787949242860,ABHY0065397,anika41@upi
Aaina Kapoor,6562-6833-4965-1448,44285654935625,ABHY0065398,yasmin31@upi
Anaya Lall,5088-0103-4744-0789,2851484287758800,ABHY0065399,soodkiaan@upi
